belongs_to_collection,budget,genres,id,original_language,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,release_year,return,name_collection
"{'id': 10194, 'name': 'Toy Story Collection', 'poster_path': '/7G9915LfUQ2lVfwMEEhDsn3kT4B.jpg', 'backdrop_path': '/9FBwqcd9IRruEDUrTdcaafOMKUq.jpg'}",30000000,"Animation, Comedy, Family",862,en,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",21.946943,Pixar Animation Studios,United States of America,1995-10-30,373554033.0,81.0,English,Released,sin datos,Toy Story,7.7,5415.0,1995,12.4518011,Toy Story Collection
{'name':'sin datos' },65000000,"Adventure, Fantasy, Family",8844,en,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",17.015539,"TriStar Pictures, Teitler Film, Interscope Communications",United States of America,1995-12-15,262797249.0,104.0,"English, Français",Released,Roll the dice and unleash the excitement!,Jumanji,6.9,2413.0,1995,4.0430346,sin datos
"{'id': 119050, 'name': 'Grumpy Old Men Collection', 'poster_path': '/nLvUdqgPgm3F85NMCii9gVFUcet.jpg', 'backdrop_path': '/hypTnLot2z8wpFS7qwsQHW1uV8u.jpg'}",0,"Romance, Comedy",15602,en,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",11.7129,"Warner Bros., Lancaster Gate",United States of America,1995-12-22,0.0,101.0,English,Released,Still Yelling. Still Fighting. Still Ready for Love.,Grumpier Old Men,6.5,92.0,1995,0.0,Grumpy Old Men Collection
{'name':'sin datos' },16000000,"Comedy, Drama, Romance",31357,en,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",3.859495,Twentieth Century Fox Film Corporation,United States of America,1995-12-22,81452156.0,127.0,English,Released,Friends are the people who let you be yourself... and never let you forget it.,Waiting to Exhale,6.1,34.0,1995,5.09075975,sin datos
"{'id': 96871, 'name': 'Father of the Bride Collection', 'poster_path': '/nts4iOmNnq7GNicycMJ9pSAn204.jpg', 'backdrop_path': '/7qwE57OVZmMJChBpLEbJEmzUydk.jpg'}",0,Comedy,11862,en,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",8.387519,"Sandollar Productions, Touchstone Pictures",United States of America,1995-02-10,76578911.0,106.0,English,Released,Just When His World Is Back To Normal... He's In For The Surprise Of His Life!,Father of the Bride Part II,5.7,173.0,1995,0.0,Father of the Bride Collection
{'name':'sin datos' },60000000,"Action, Crime, Drama, Thriller",949,en,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",17.924927,"Regency Enterprises, Forward Pass, Warner Bros.",United States of America,1995-12-15,187436818.0,170.0,"English, Español",Released,A Los Angeles Crime Saga,Heat,7.7,1886.0,1995,3.123946966666667,sin datos
{'name':'sin datos' },58000000,"Comedy, Romance",11860,en,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",6.677277,"Paramount Pictures, Scott Rudin Productions, Mirage Enterprises, Sandollar Productions, Constellation Entertainment, Worldwide, Mont Blanc Entertainment GmbH","Germany, United States of America",1995-12-15,0.0,127.0,"Français, English",Released,You are cordially invited to the most surprising merger of the year.,Sabrina,6.2,141.0,1995,0.0,sin datos
{'name':'sin datos' },0,"Action, Adventure, Drama, Family",45325,en,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",2.561161,Walt Disney Pictures,United States of America,1995-12-22,0.0,97.0,"English, Deutsch",Released,The Original Bad Boys.,Tom and Huck,5.4,45.0,1995,0.0,sin datos
{'name':'sin datos' },35000000,"Action, Adventure, Thriller",9091,en,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...",5.23158,"Universal Pictures, Imperial Entertainment, Signature Entertainment",United States of America,1995-12-22,64350171.0,106.0,English,Released,Terror goes into overtime.,Sudden Death,5.5,174.0,1995,1.8385763142857143,sin datos
"{'id': 645, 'name': 'James Bond Collection', 'poster_path': '/HORpg5CSkmeQlAolx3bKMrKgfi.jpg', 'backdrop_path': '/6VcVl48kNKvdXOZfJPdarlUGOsk.jpg'}",58000000,"Adventure, Action, Thriller",710,en,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,14.686036,"United Artists, Eon Productions","United Kingdom, United States of America",1995-11-16,352194034.0,130.0,"English, Pусский, Español",Released,No limits. No fears. No substitutes.,GoldenEye,6.6,1194.0,1995,6.072310931034483,James Bond Collection
{'name':'sin datos' },62000000,"Comedy, Drama, Romance",9087,en,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",6.318445,"Columbia Pictures, Castle Rock Entertainment",United States of America,1995-11-17,107879496.0,106.0,English,Released,Why can't the most powerful man in the world have the one thing he wants most?,The American President,6.5,199.0,1995,1.739991870967742,sin datos
{'name':'sin datos' },0,"Comedy, Horror",12110,en,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",5.430331,"Columbia Pictures, Castle Rock Entertainment, Enigma Pictures","France, United States of America",1995-12-22,0.0,88.0,"English, Deutsch",Released,sin datos,Dracula: Dead and Loving It,5.7,210.0,1995,0.0,sin datos
"{'id': 117693, 'name': 'Balto Collection', 'poster_path': '/w0ZgH6Lgxt2bQYnf1ss74UvYftm.jpg', 'backdrop_path': '/9VM5LiJV0bGb1st1KyHA3cVnO2G.jpg'}",0,"Family, Animation, Adventure",21032,en,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",12.140733,"Universal Pictures, Amblin Entertainment, Amblimation",United States of America,1995-12-22,11348324.0,78.0,English,Released,Part Dog. Part Wolf. All Hero.,Balto,7.1,423.0,1995,0.0,Balto Collection
{'name':'sin datos' },44000000,"History, Drama",10858,en,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",5.092,"Hollywood Pictures, Cinergi Pictures Entertainment",United States of America,1995-12-22,13681765.0,192.0,English,Released,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",Nixon,7.1,72.0,1995,0.31094920454545455,sin datos
{'name':'sin datos' },98000000,"Action, Adventure",1408,en,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",7.284477,"Le Studio Canal+, Laurence Mark Productions, Metro-Goldwyn-Mayer (MGM), Carolco Pictures","France, Germany, Italy, United States of America",1995-12-22,10017322.0,119.0,"English, Latin",Released,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,Cutthroat Island,5.7,137.0,1995,0.10221757142857144,sin datos
{'name':'sin datos' },52000000,"Drama, Crime",524,en,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,10.137389,"Universal Pictures, Légende Entreprises, Syalis DA, De Fina-Cappa","France, United States of America",1995-11-22,116112375.0,178.0,English,Released,No one stays at the top forever.,Casino,7.8,1343.0,1995,2.2329302884615383,sin datos
