id,title,tags
862,Toy Story,"led by woody, andy's toys live happily in his room until andy's birthday brings buzz lightyear onto the scene. afraid of losing his place in andy's heart, woody plots against buzz. but when circumstances separate buzz and woody from their owner, the duo eventually learns to put aside their differences. animation, comedy, family, tomhanks, timallen, donrickles, jimvarney, wallaceshawn, johnlasseter"
8844,Jumanji,"when siblings judy and peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite alan -- an adult who's been trapped inside the game for 26 years -- into their living room. alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures. adventure, fantasy, family, robinwilliams, jonathanhyde, kirstendunst, bradleypierce, bonniehunt, joejohnston"
15602,Grumpier Old Men,"a family wedding reignites the ancient feud between next-door neighbors and fishing buddies john and max. meanwhile, a sultry italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. but she's less interested in seafood than she is in cooking up a hot time with max. romance, comedy, waltermatthau, jacklemmon, ann-margret, sophialoren, darylhannah, howarddeutch"
31357,Waiting to Exhale,"cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. friends and confidants vannah, bernie, glo and robin talk it all out, determined to find a better way to breathe. comedy, drama, romance, whitneyhouston, angelabassett, lorettadevine, lelarochon, gregoryhines, forestwhitaker"
11862,Father of the Bride Part II,"just when george banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that george's wife, nina, is expecting too. he was planning on selling their home, but that's a plan that -- like george -- will have to change with the arrival of both a grandchild and a kid of his own. comedy, stevemartin, dianekeaton, martinshort, kimberlywilliams-paisley, georgenewbern, charlesshyer"
949,Heat,"obsessive master thief, neil mccauley leads a top-notch crew on various insane heists throughout los angeles while a mentally unstable detective, vincent hanna pursues him without rest. each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence. action, crime, drama, thriller, alpacino, robertdeniro, valkilmer, jonvoight, tomsizemore, michaelmann"
11860,Sabrina,"an ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it. comedy, romance, harrisonford, juliaormond, gregkinnear, angiedickinson, nancymarchand, sydneypollack"
45325,Tom and Huck,"a mischievous young boy, tom sawyer, witnesses a murder by the deadly injun joe. tom becomes friends with huckleberry finn, a boy with no future and no family. tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. tom and huck go through several adventures trying to retrieve evidence. action, adventure, drama, family, jonathantaylorthomas, bradrenfro, rachaelleighcook, michaelmcshane, amywright, peterhewitt"
9091,Sudden Death,"international action superstar jean claude van damme teams with powers boothe in a tension-packed, suspense thriller, set against the back-drop of a stanley cup game.van damme portrays a father whose daughter is suddenly taken during a championship hockey game. with the captors demanding a billion dollars by game's end, van damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer... action, adventure, thriller, jean-claudevandamme, powersboothe, dorianharewood, raymondj.barry, rossmalinger, peterhyams"
710,GoldenEye,"james bond must unmask the mysterious head of the janus syndicate and prevent the leader from utilizing the goldeneye weapons system to inflict devastating revenge on britain. adventure, action, thriller, piercebrosnan, seanbean, izabellascorupco, famkejanssen, joedonbaker, martincampbell"
9087,The American President,"widowed u.s. president andrew shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is sydney ellen wade, a washington lobbyist. but shepherd's attempts at courting her spark wild rumors and decimate his approval ratings. comedy, drama, romance, michaeldouglas, annettebening, michaelj.fox, martinsheen, annadeaveresmith, robreiner"
12110,Dracula: Dead and Loving It,"when a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. enter dr. van helsing, who may be the only one able to vanquish the count. comedy, horror, leslienielsen, melbrooks, amyyasbeck, petermacnicol, lysetteanthony, melbrooks"
